skill,doc_frequency,doc_freq_pct
flexible,20,0.00824
diversity,20,0.00824
event,20,0.00824
strategy,19,0.00783
perks,19,0.00783
performance,19,0.00783
access,19,0.00783
accounts,19,0.00783
accommodation,19,0.00783
successfully perform,19,0.00783
able lift,19,0.00783
eye exams,19,0.00783
clean,19,0.00783
collaborate,19,0.00783
cloud,19,0.00783
eyewear,19,0.00783
includes,19,0.00783
sitting,19,0.00783
familiarity,19,0.00783
skills disaster,19,0.00783
optometry contact,19,0.00783
parts,19,0.00783
ocular disease,19,0.00783
ocular,19,0.00783
optometry,19,0.00783
current,19,0.00783
focus,19,0.00783
center,19,0.00783
require,19,0.00783
representative met,19,0.00783
join,19,0.00783
job reasonable,19,0.00783
learning,19,0.00783
lenses,19,0.00783
lenses glaucoma,19,0.00783
roles,19,0.00783
employee regularly,19,0.00783
estate,19,0.00783
exams,19,0.00783
cataract low,19,0.00783
lobbying public,19,0.00783
lobbying,19,0.00783
employee successfully,19,0.00783
job employee,19,0.00783
reading,19,0.00783
real estate,19,0.00783
met employee,19,0.00783
contact lenses,19,0.00783
diabetes eyewear,19,0.00783
diabetes,19,0.00783
network,19,0.00783
duties job,19,0.00783
disease eye,19,0.00783
disease,19,0.00783
regularly required,19,0.00783
mentoring,19,0.00783
math,19,0.00783
low vision,19,0.00783
agile,19,0.00783
vision diabetes,19,0.00783
performing duties,19,0.00783
testing,19,0.00783
demands described,19,0.00783
day,19,0.00783
database,19,0.00783
assigned,19,0.00783
basis,19,0.00783
base,19,0.00783
written verbal,19,0.00783
glaucoma ocular,19,0.00783
glaucoma,19,0.00783
fundraising lobbying,19,0.00783
exams cataract,19,0.00783
cataract,19,0.00783
standard,19,0.00783
brand,19,0.00783
highly,18,0.00741
depth,18,0.00741
periods time,18,0.00741
human resources,18,0.00741
finance,18,0.00741
annual,18,0.00741
duties responsibilities,18,0.00741
qualified applicants,18,0.00741
relationships,18,0.00741
regard race,18,0.00741
location,18,0.00741
construction,18,0.00741
production,18,0.00741
provides,18,0.00741
ll need,18,0.00741
complex,18,0.00741
condition,18,0.00741
diverse,18,0.00741
electronic,18,0.00741
certifications,18,0.00741
check,18,0.00741
expression,18,0.00741
laws,18,0.00741
paid time,18,0.00741
positive,18,0.00741
state local,18,0.00741
place,18,0.00741
engineer,18,0.00741
skills administrative,18,0.00741
sap,18,0.00741
succeed,17,0.007
general education,17,0.007
cost,17,0.007
ms office,17,0.007
marital status,17,0.007
erp,17,0.007
equal employment,17,0.007
lifting,17,0.007
prior,17,0.007
diploma ged,17,0.007
military,17,0.007
compliance,17,0.007
considered,17,0.007
eeo,17,0.007
managing,17,0.007
america,17,0.007
architecture,17,0.007
bachelors,17,0.007
records,17,0.007
respect,17,0.007
repair,17,0.007
incentive,17,0.007
short term,17,0.007
listed,17,0.007
child,17,0.007
integrity,17,0.007
seo marketing,17,0.007
members,17,0.007
legal,17,0.007
extended,17,0.007
federal state,17,0.007
paced environment,17,0.007
outside,17,0.007
phone,17,0.007
50 pounds,17,0.007
various,17,0.007
years relevant,17,0.007
vehicles,16,0.00659
teamwork,16,0.00659
strategic,16,0.00659
universal,16,0.00659
50 lbs,16,0.00659
participate,16,0.00659
value,16,0.00659
share,16,0.00659
track,16,0.00659
accredited,16,0.00659
ada,16,0.00659
visit,16,0.00659
arts,16,0.00659
want,16,0.00659
care shelters,16,0.00659
attitude,16,0.00659
